[[8, 2, 14, 7], [4, 10, 5, 9], [12, 13, 15, 6], [0, 1, 11, 3]]
[[8, 2, 14, 7], [4, 10, 5, 9], [0, 13, 15, 6], [12, 1, 11, 3]]
[[8, 2, 14, 7], [4, 10, 5, 9], [13, 0, 15, 6], [12, 1, 11, 3]]
[[8, 2, 14, 7], [4, 0, 5, 9], [13, 10, 15, 6], [12, 1, 11, 3]]
[[8, 2, 14, 7], [4, 5, 0, 9], [13, 10, 15, 6], [12, 1, 11, 3]]
[[8, 2, 14, 7], [4, 5, 9, 0], [13, 10, 15, 6], [12, 1, 11, 3]]
[[8, 2, 14, 7], [4, 5, 9, 6], [13, 10, 15, 0], [12, 1, 11, 3]]
[[8, 2, 14, 7], [4, 5, 9, 6], [13, 10, 15, 3], [12, 1, 11, 0]]
[[8, 2, 14, 7], [4, 5, 9, 6], [13, 10, 15, 3], [12, 1, 0, 11]]
[[8, 2, 14, 7], [4, 5, 9, 6], [13, 10, 0, 3], [12, 1, 15, 11]]
[[8, 2, 14, 7], [4, 5, 0, 6], [13, 10, 9, 3], [12, 1, 15, 11]]
[[8, 2, 14, 7], [4, 5, 6, 0], [13, 10, 9, 3], [12, 1, 15, 11]]
[[8, 2, 14, 7], [4, 5, 6, 3], [13, 10, 9, 0], [12, 1, 15, 11]]
[[8, 2, 14, 7], [4, 5, 6, 3], [13, 10, 9, 11], [12, 1, 15, 0]]
[[8, 2, 14, 7], [4, 5, 6, 3], [13, 10, 9, 11], [12, 1, 0, 15]]
[[8, 2, 14, 7], [4, 5, 6, 3], [13, 10, 0, 11], [12, 1, 9, 15]]
[[8, 2, 14, 7], [4, 5, 6, 3], [13, 0, 10, 11], [12, 1, 9, 15]]
[[8, 2, 14, 7], [4, 5, 6, 3], [13, 1, 10, 11], [12, 0, 9, 15]]
[[8, 2, 14, 7], [4, 5, 6, 3], [13, 1, 10, 11], [12, 9, 0, 15]]
[[8, 2, 14, 7], [4, 5, 6, 3], [13, 1, 0, 11], [12, 9, 10, 15]]
[[8, 2, 14, 7], [4, 5, 0, 3], [13, 1, 6, 11], [12, 9, 10, 15]]
[[8, 2, 0, 7], [4, 5, 14, 3], [13, 1, 6, 11], [12, 9, 10, 15]]
[[8, 0, 2, 7], [4, 5, 14, 3], [13, 1, 6, 11], [12, 9, 10, 15]]
[[8, 5, 2, 7], [4, 0, 14, 3], [13, 1, 6, 11], [12, 9, 10, 15]]
[[8, 5, 2, 7], [4, 1, 14, 3], [13, 0, 6, 11], [12, 9, 10, 15]]
[[8, 5, 2, 7], [4, 1, 14, 3], [13, 6, 0, 11], [12, 9, 10, 15]]
[[8, 5, 2, 7], [4, 1, 0, 3], [13, 6, 14, 11], [12, 9, 10, 15]]
[[8, 5, 0, 7], [4, 1, 2, 3], [13, 6, 14, 11], [12, 9, 10, 15]]
[[8, 0, 5, 7], [4, 1, 2, 3], [13, 6, 14, 11], [12, 9, 10, 15]]
[[8, 1, 5, 7], [4, 0, 2, 3], [13, 6, 14, 11], [12, 9, 10, 15]]
[[8, 1, 5, 7], [4, 6, 2, 3], [13, 0, 14, 11], [12, 9, 10, 15]]
[[8, 1, 5, 7], [4, 6, 2, 3], [0, 13, 14, 11], [12, 9, 10, 15]]
[[8, 1, 5, 7], [0, 6, 2, 3], [4, 13, 14, 11], [12, 9, 10, 15]]
[[0, 1, 5, 7], [8, 6, 2, 3], [4, 13, 14, 11], [12, 9, 10, 15]]
[[1, 0, 5, 7], [8, 6, 2, 3], [4, 13, 14, 11], [12, 9, 10, 15]]
[[1, 5, 0, 7], [8, 6, 2, 3], [4, 13, 14, 11], [12, 9, 10, 15]]
[[1, 5, 2, 7], [8, 6, 0, 3], [4, 13, 14, 11], [12, 9, 10, 15]]
[[1, 5, 2, 7], [8, 0, 6, 3], [4, 13, 14, 11], [12, 9, 10, 15]]
[[1, 0, 2, 7], [8, 5, 6, 3], [4, 13, 14, 11], [12, 9, 10, 15]]
[[0, 1, 2, 7], [8, 5, 6, 3], [4, 13, 14, 11], [12, 9, 10, 15]]
[[8, 1, 2, 7], [0, 5, 6, 3], [4, 13, 14, 11], [12, 9, 10, 15]]
[[8, 1, 2, 7], [4, 5, 6, 3], [0, 13, 14, 11], [12, 9, 10, 15]]
[[8, 1, 2, 7], [4, 5, 6, 3], [13, 0, 14, 11], [12, 9, 10, 15]]
[[8, 1, 2, 7], [4, 5, 6, 3], [13, 9, 14, 11], [12, 0, 10, 15]]
[[8, 1, 2, 7], [4, 5, 6, 3], [13, 9, 14, 11], [12, 10, 0, 15]]
[[8, 1, 2, 7], [4, 5, 6, 3], [13, 9, 0, 11], [12, 10, 14, 15]]
[[8, 1, 2, 7], [4, 5, 6, 3], [13, 0, 9, 11], [12, 10, 14, 15]]
[[8, 1, 2, 7], [4, 5, 6, 3], [0, 13, 9, 11], [12, 10, 14, 15]]
[[8, 1, 2, 7], [4, 5, 6, 3], [12, 13, 9, 11], [0, 10, 14, 15]]
[[8, 1, 2, 7], [4, 5, 6, 3], [12, 13, 9, 11], [10, 0, 14, 15]]
[[8, 1, 2, 7], [4, 5, 6, 3], [12, 0, 9, 11], [10, 13, 14, 15]]
[[8, 1, 2, 7], [4, 5, 6, 3], [12, 9, 0, 11], [10, 13, 14, 15]]
[[8, 1, 2, 7], [4, 5, 6, 3], [12, 9, 14, 11], [10, 13, 0, 15]]
[[8, 1, 2, 7], [4, 5, 6, 3], [12, 9, 14, 11], [10, 0, 13, 15]]
[[8, 1, 2, 7], [4, 5, 6, 3], [12, 9, 14, 11], [0, 10, 13, 15]]
[[8, 1, 2, 7], [4, 5, 6, 3], [0, 9, 14, 11], [12, 10, 13, 15]]
[[8, 1, 2, 7], [4, 5, 6, 3], [9, 0, 14, 11], [12, 10, 13, 15]]
[[8, 1, 2, 7], [4, 5, 6, 3], [9, 10, 14, 11], [12, 0, 13, 15]]
[[8, 1, 2, 7], [4, 5, 6, 3], [9, 10, 14, 11], [12, 13, 0, 15]]
[[8, 1, 2, 7], [4, 5, 6, 3], [9, 10, 0, 11], [12, 13, 14, 15]]
[[8, 1, 2, 7], [4, 5, 6, 3], [9, 0, 10, 11], [12, 13, 14, 15]]
[[8, 1, 2, 7], [4, 0, 6, 3], [9, 5, 10, 11], [12, 13, 14, 15]]
[[8, 1, 2, 7], [0, 4, 6, 3], [9, 5, 10, 11], [12, 13, 14, 15]]
[[0, 1, 2, 7], [8, 4, 6, 3], [9, 5, 10, 11], [12, 13, 14, 15]]
[[1, 0, 2, 7], [8, 4, 6, 3], [9, 5, 10, 11], [12, 13, 14, 15]]
[[1, 4, 2, 7], [8, 0, 6, 3], [9, 5, 10, 11], [12, 13, 14, 15]]
[[1, 4, 2, 7], [8, 5, 6, 3], [9, 0, 10, 11], [12, 13, 14, 15]]
[[1, 4, 2, 7], [8, 5, 6, 3], [0, 9, 10, 11], [12, 13, 14, 15]]
[[1, 4, 2, 7], [0, 5, 6, 3], [8, 9, 10, 11], [12, 13, 14, 15]]
[[0, 4, 2, 7], [1, 5, 6, 3], [8, 9, 10, 11], [12, 13, 14, 15]]
[[4, 0, 2, 7], [1, 5, 6, 3], [8, 9, 10, 11], [12, 13, 14, 15]]
[[4, 5, 2, 7], [1, 0, 6, 3], [8, 9, 10, 11], [12, 13, 14, 15]]
[[4, 5, 2, 7], [0, 1, 6, 3], [8, 9, 10, 11], [12, 13, 14, 15]]
[[0, 5, 2, 7], [4, 1, 6, 3], [8, 9, 10, 11], [12, 13, 14, 15]]
[[5, 0, 2, 7], [4, 1, 6, 3], [8, 9, 10, 11], [12, 13, 14, 15]]
[[5, 1, 2, 7], [4, 0, 6, 3], [8, 9, 10, 11], [12, 13, 14, 15]]
[[5, 1, 2, 7], [4, 6, 0, 3], [8, 9, 10, 11], [12, 13, 14, 15]]
[[5, 1, 0, 7], [4, 6, 2, 3], [8, 9, 10, 11], [12, 13, 14, 15]]
[[5, 0, 1, 7], [4, 6, 2, 3], [8, 9, 10, 11], [12, 13, 14, 15]]
[[0, 5, 1, 7], [4, 6, 2, 3], [8, 9, 10, 11], [12, 13, 14, 15]]
[[4, 5, 1, 7], [0, 6, 2, 3], [8, 9, 10, 11], [12, 13, 14, 15]]
[[4, 5, 1, 7], [6, 0, 2, 3], [8, 9, 10, 11], [12, 13, 14, 15]]
[[4, 0, 1, 7], [6, 5, 2, 3], [8, 9, 10, 11], [12, 13, 14, 15]]
[[4, 1, 0, 7], [6, 5, 2, 3], [8, 9, 10, 11], [12, 13, 14, 15]]
[[4, 1, 2, 7], [6, 5, 0, 3], [8, 9, 10, 11], [12, 13, 14, 15]]
[[4, 1, 2, 7], [6, 0, 5, 3], [8, 9, 10, 11], [12, 13, 14, 15]]
[[4, 1, 2, 7], [0, 6, 5, 3], [8, 9, 10, 11], [12, 13, 14, 15]]
[[0, 1, 2, 7], [4, 6, 5, 3], [8, 9, 10, 11], [12, 13, 14, 15]]
[[1, 0, 2, 7], [4, 6, 5, 3], [8, 9, 10, 11], [12, 13, 14, 15]]
[[1, 6, 2, 7], [4, 0, 5, 3], [8, 9, 10, 11], [12, 13, 14, 15]]
[[1, 6, 2, 7], [4, 5, 0, 3], [8, 9, 10, 11], [12, 13, 14, 15]]
[[1, 6, 2, 7], [4, 5, 3, 0], [8, 9, 10, 11], [12, 13, 14, 15]]
[[1, 6, 2, 0], [4, 5, 3, 7], [8, 9, 10, 11], [12, 13, 14, 15]]
[[1, 6, 0, 2], [4, 5, 3, 7], [8, 9, 10, 11], [12, 13, 14, 15]]
[[1, 0, 6, 2], [4, 5, 3, 7], [8, 9, 10, 11], [12, 13, 14, 15]]
[[1, 5, 6, 2], [4, 0, 3, 7], [8, 9, 10, 11], [12, 13, 14, 15]]
[[1, 5, 6, 2], [4, 3, 0, 7], [8, 9, 10, 11], [12, 13, 14, 15]]
[[1, 5, 0, 2], [4, 3, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]
[[1, 5, 2, 0], [4, 3, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]
[[1, 5, 2, 7], [4, 3, 6, 0], [8, 9, 10, 11], [12, 13, 14, 15]]
[[1, 5, 2, 7], [4, 3, 0, 6], [8, 9, 10, 11], [12, 13, 14, 15]]
[[1, 5, 2, 7], [4, 0, 3, 6], [8, 9, 10, 11], [12, 13, 14, 15]]
[[1, 0, 2, 7], [4, 5, 3, 6], [8, 9, 10, 11], [12, 13, 14, 15]]
[[1, 2, 0, 7], [4, 5, 3, 6], [8, 9, 10, 11], [12, 13, 14, 15]]
[[1, 2, 3, 7], [4, 5, 0, 6], [8, 9, 10, 11], [12, 13, 14, 15]]
[[1, 2, 3, 7], [4, 5, 6, 0], [8, 9, 10, 11], [12, 13, 14, 15]]
[[1, 2, 3, 0], [4, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]
[[1, 2, 0, 3], [4, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]
[[1, 0, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]
[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]
